,date,plume_lat,plume_lon,emission,source_type,ipcc
2696,21/05/2021,40.03476,-80.327014,5366.898563,coal vent,1B1a Coal Mining
2697,08/08/2021,31.7840377,-102.06453,110.6837975,tank,1B2 Oil & Natural Gas
2698,17/07/2021,40.0224186,-105.00792,111.4389645,landfill,6A Solid Waste Disposal On Land
2699,06/08/2021,31.983787,-103.86808,215.1140715,compressor,1B2 Oil & Natural Gas
2700,10/08/2021,31.687711,-101.89151,1416.018128,compressor,1B2 Oil & Natural Gas
2701,06/08/2021,31.962528,-103.697,338.1965801,compressor,1B2 Oil & Natural Gas
2702,06/08/2021,32.078255,-103.63104,247.8705127,tank,1B2 Oil & Natural Gas
2703,09/08/2021,31.7373181,-103.52709,157.9266304,pipeline,1B2 Oil & Natural Gas
2704,06/08/2021,32.111579,-103.56302,330.3735359,well,1B2 Oil & Natural Gas
2705,05/08/2021,31.9421439,-103.77895,55.41900819,pipeline,1B2 Oil & Natural Gas
2706,07/08/2021,32.1074723,-103.51922,92.75650294,well,1B2 Oil & Natural Gas
2707,04/08/2021,32.10915,-101.80988,1396.280263,well,1B2 Oil & Natural Gas
2708,27/05/2021,42.19842,-79.321642,210.8989221,landfill,6A Solid Waste Disposal On Land
2709,26/07/2021,31.863262,-101.84414,111.313374,tank,1B2 Oil & Natural Gas
2710,08/08/2021,31.7637639,-102.11304,216.9103748,well,1B2 Oil & Natural Gas
2711,14/05/2021,40.27536,-79.992332,416.9047365,landfill,6A Solid Waste Disposal On Land
2712,18/05/2021,40.812326,-80.082004,670.9623168,landfill,6A Solid Waste Disposal On Land
2713,13/05/2021,40.034756,-80.32719,1950.644461,coal vent,1B1a Coal Mining
2714,29/07/2021,32.200603,-103.68447,1202.547095,compressor,1B2 Oil & Natural Gas
2715,07/08/2021,32.108379,-103.52129,354.2894849,well,1B2 Oil & Natural Gas
2716,05/08/2021,31.775033,-103.93837,125.3737037,tank,1B2 Oil & Natural Gas
2717,20/07/2021,40.3666244,-104.46908,289.5278815,tank,1B2 Oil & Natural Gas
2718,27/07/2021,31.710446,-103.82564,75.17183337,well,1B2 Oil & Natural Gas
2719,07/08/2021,32.1925997,-103.57641,226.746649,tank,1B2 Oil & Natural Gas
2720,04/08/2021,31.7389619,-103.477,180.2793057,well,1B2 Oil & Natural Gas
2721,31/07/2021,31.7343156,-102.09387,100.5749514,pipeline,1B2 Oil & Natural Gas
2722,08/08/2021,31.641777,-102.18937,237.4656071,processing,1B2 Oil & Natural Gas
2723,17/07/2021,40.0766664,-104.99737,307.5425638,well,1B2 Oil & Natural Gas
2724,04/08/2021,31.852622,-101.77389,277.1769748,processing,1B2 Oil & Natural Gas
2725,08/08/2021,31.687806,-101.89131,1059.248602,compressor,1B2 Oil & Natural Gas
